country,iso,aluminum_us,aluminum_cn,antimony_us,antimony_cn,beryllium_us,beryllium_cn,bismuth_us,bismuth_cn,cadmium_us,cadmium_cn,chromium_us,chromium_cn,cobalt_us,cobalt_cn,copper_us,copper_cn,gold_us,gold_cn,steel_us,steel_cn,lead_us,lead_cn,lithium_us,lithium_cn,magnesium_us,magnesium_cn,manganese_us,manganese_cn,molybdenum_us,molybdenum_cn,graphite_us,graphite_cn,nickel_us,nickel_cn,niobium_us,niobium_cn,palladium_us,palladium_cn,platinum_us,platinum_cn,ree_us,ree_cn,rhodium_us,rhodium_cn,silver_us,silver_cn,tin_us,tin_cn,titanium_us,titanium_cn,tungsten_us,tungsten_cn,uranium_us,uranium_cn,zinc_us,zinc_cn,zirconium_us,zirconium_cn,beef_us,beef_cn,coffee_us,coffee_cn,maize_us,maize_cn,milk_us,milk_cn,palm_us,palm_cn,pork_us,pork_cn,poultry_us,poultry_cn,rice_us,rice_cn,soy_us,soy_cn,sugar_us,sugar_cn,wheat_us,wheat_cn,coal_us,coal_cn,gas_us,gas_cn,oil_us,oil_cn,trade_us,trade_cn,fdi_us,fdi_cn,student_out_us,student_in_us,student_out_cn,student_in_cn,aid_us,aid_cn,unga_us,unga_cn,arms_ex_us,arms_im_us,arms_ex_cn,arms_im_cn,mil_ex_us,mil_ex_cn
Myanmar,MMR,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0.039,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0.055,0,0,0,0,0,,0,0,471772376,15204972097,0,1510000000,0,1104.89,0,37.25,0.002,0.001,0.2,0.77,0,0,0.73,0,2,1
Namibia,NAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.314,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509220465,661642269.4,0,1370000000,1.25,70.4,6.5,1.75,0.018,0.005,0.18,0.78,0,0,0.86,0,1,1
Nepal,NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164824416,1464566350,0,440000000,0,8507,0,12.25,0.009,0.008,0.23,0.78,0,0,0.31,0,0,4
Netherlands,NLD,0,0,0.001,0,0,0,0.001,0,0,0.014,0.003,0,0.002,0,0,0,0,0,0.007,0,0.002,0,0,0,0.002,0,0.001,0,0.001,0.001,0.001,0,0.001,0.001,0.002,0.003,0,0,0,0.013,0.001,0,0,0,0,0,0.004,0,0.002,0.001,0.006,0,0,0,0,0.003,0.001,0,0,0,0.001,0.001,0,0,0.002,0.009,0,0,0.001,0.002,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,87697000000,71660042300,8.55E+11,3466666667,484.25,1913.17,3591.25,33.5,0,0,0.49,0.48,0.38,0.11,0,0,4,0
New Zealand,NZL,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.01,0,0,0,0,0.003,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10334363464,12905005872,11081000000,522500000,2321.58,1391.44,14451.55,8.75,0,0,0.41,0.51,0.68,0,0,0,49,4
Nicaragua,NIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0,0,5336111983,644349025.2,0,0,0,426.67,0,0,0.009,0,0.15,0.8,0,0,0,0,20,0
Niger,NER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100476601.2,251786855,0,140000000,0,209.9,0.25,0,0.03,0.036,0.22,0.8,0.42,0,0,0,4,0
Nigeria,NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.01,0.002,12491809117,14195750438,5219750000,5712500000,0,8871.3,0,21,0.002,0.001,0.22,0.79,0.16,0,0.24,0,1,2
North Korea,PRK,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,5762072160,0,0,0,16.63,0,0.75,0,0,0.08,0.79,0,0,0,0,6,0
Norway,NOR,0.001,0,0,0,0,0,0,0,0,0,0,0,0.141,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0,0.043,0.01,0,0,0.03,0,0.025,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.001,12537982009,6371187992,31230500000,680000000,218.5,2225.44,708.5,15.5,0,0,0.46,0.5,0.72,0.07,0,0,0,0
